phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,speaker,lesson
s,0,secånnda,0.2733901455,0.1137129745,e,1580.668094,2575.858513,3056.838167,3628.762276,LL,2
e,0,secånnda,0.3602887391,0.06008421263,k,466.9259165,1710.146035,2379.617606,3242.630652,LL,2
k,0,secånnda,0.4405480003,0.1004343098,ɑ,418.546883,1758.92868,2127.734537,3215.066575,LL,2
ɑ,1,secånnda,0.5478501609,0.1141700116,n:,708.6763756,1449.203001,2415.299422,3256.330293,LL,2
nː,0,secånnda,0.6660867021,0.1223030708,d,339.3141618,1294.376641,2183.222952,3188.454556,LL,2
d,0,secånnda,0.752751792,0.05102710899,a,243.9119568,1248.011009,2523.966798,3658.354302,LL,2
a,0,secånnda,0.7792930432,0.002055393326,a,412.4308524,1376.459536,2537.623477,3672.075358,LL,2
a,0,secånnda,0.8104762764,0.06031107322,l,550.1743917,1417.983364,2506.669599,3707.822334,LL,2
l,0,leziån,0.8676563143,0.05404900241,e,308.1722236,1371.876806,2766.318447,3568.281184,LL,2
e,0,leziån,0.9311519647,0.0729422984,θ,404.0118505,1752.3797,2532.564588,3631.699751,LL,2
θ,0,leziån,1.022120233,0.108994239,i,971.6841355,1884.700543,2998.097251,3934.021074,LL,2
i,0,leziån,1.109888544,0.06654238264,ɑ,350.912206,2065.044754,2713.423622,3618.027088,LL,2
ɑ,1,leziån,1.209991754,0.1336640372,n,623.6722322,1803.619899,2236.029547,3513.370195,LL,2
n,0,leziån,1.349015302,0.1443830588,NA,410.7586,1350.104812,2178.379639,4449.927952,LL,2
l,0,leziån,2.035101724,0.06474575745,e,380.5466177,1880.815556,3363.805072,4490.297782,RM,2
e,0,leziån,2.097449491,0.05994977542,θ,475.7574983,1925.473511,2274.422544,3000.565478,RM,2
θ,0,leziån,2.202961095,0.1510734341,i,438.1088675,1608.230009,2639.289517,3578.174061,RM,2
i,0,leziån,2.317465166,0.07793470805,ɑ,406.4327436,1965.766337,2417.686626,3026.110592,RM,2
ɑ,1,leziån,2.4151833,0.1175015598,n,803.3753262,1317.884859,1789.503971,2727.841518,RM,2
