phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,speaker,lesson
d,0,dêzima,0.28893752097550074,0.05361337957265916,eː,388.420245209083,"1,876.88422694842","2,599.12162888552","3,251.96203766511",LL,10
eː,1,dêzima,0.3663790692471195,0.1012697169705784,θ,390.858624883669,"2,087.20051003922","2,605.12060773623","2,922.33781998181",LL,10
θ,0,dêzima,0.49296621546034247,0.1519045754558676,i,"1,624.879819608120","2,201.28393671710","3,185.25067364202","4,156.95664349518",LL,10
i,0,dêzima,0.6121070589551407,0.08637711153372873,m,319.225144935009,"2,037.40132998777","2,611.74567005651","3,594.84877569376",LL,10
m,0,dêzima,0.6910378677704445,0.07148450609687884,a,365.710687303536,"1,085.88819085705","2,386.90198588355","3,435.38306455185",LL,10
a,0,dêzima,0.7640116344110084,0.07446302718424891,l,606.697082448690,"1,420.76074676181","2,546.15345872815","3,558.14470154670",LL,10
l,0,leziån,0.8201786361620094,0.03787097631775316,e,333.106755696256,"1,356.24146813846","2,546.70511949265","3,484.08135998683",LL,10
e,0,leziån,0.8732402003710673,0.06825215210036284,θ,428.989780473214,"1,611.41628586043","2,457.63281875184","3,609.74572833060",LL,10
θ,0,leziån,0.9585553904965208,0.1023782281505442,j,898.938602620624,"1,707.84029555411","2,711.51402942915","3,761.87091831193",LL,10
j,0,leziån,1.0368446237881137,0.05420023843264121,ɑ,410.613071186459,"1,999.40553534600","2,132.34661330289","3,242.52324997909",LL,10
ɑ,1,leziån,1.1061004840075994,0.08431148200633043,n,638.596198693369,"1,844.29597601294","2,606.98339233272","2,760.39090069398",LL,10
n,0,leziån,1.2195195014684963,0.14252655291546357,NA,549.736954814008,932.17340135127,"2,183.03539471128","3,495.33376094407",LL,10
l,0,leziån,1.6972669961199225,0.06693600486684947,e,373.500185774792,"2,001.23238432185","3,692.31886192685","4,582.38293427191",RM,10
e,0,leziån,1.7728907395565126,0.08431148200633043,θ,433.451059672271,"2,139.15381322587","2,281.64347360546","2,996.60654442503",RM,10
θ,0,leziån,1.8814396233105593,0.13278628550176297,j,845.893130115196,"1,856.75161438130","2,618.41784678343","3,726.31016480960",RM,10
j,0,leziån,1.9838178514611036,0.07197017079932588,ɑ,372.998429900940,"2,061.70281131403","2,440.20039825761","2,968.06351725993",RM,10
r,0,màsster,10.088780495767413,0.10840047686528288,n,381.161021891183,"1,340.03785511098","2,284.18833939215","3,462.01950655114",LL,10
n,0,nôv,10.186155808659205,0.08635014891829762,oː,326.305860279123,987.23436383894,"2,490.14598519721","2,830.61267792961",LL,10
oː,1,nôv,10.366180821821445,0.2736998774061856,v,465.019189436942,784.58283316442,"2,492.86235505724","3,230.61005224938",LL,10
v,0,nôv,10.53013087974086,0.05420023843264054,a,289.424279561505,927.84837846645,"2,357.45377038517","3,272.45221647793",LL,10
a,0,al,10.61143123738982,0.10840047686528108,l,570.441221961486,"1,259.62300447934","2,535.47842813697","3,672.88744722474",LL,10
l,0,al,10.699757551872642,0.06825215210036362,d,285.770953292178,"1,257.71939641772","2,513.48448728862","3,675.80860106694",LL,10
d,0,dîS,10.792098698831955,0.11643014181826672,iː,244.788651575895,"1,394.76368555060","2,560.10373093097","3,903.64125884577",LL,10
iː,1,dîS,10.957710538487248,0.21479353749231755,z,302.531555567337,"2,370.87778037025","2,522.75730018293","3,557.87065114146",LL,10
z,0,dîS,11.118303837546923,0.10639306062703646,k,"1,842.320643875820","2,235.19538147903","2,904.34928641218","3,631.53219272495",LL,10
k,0,ch'äli,11.190850065850196,0.03869939597950456,æ,719.590671411624,"2,084.60145717333","2,290.42893966609","3,428.47222289309",LL,10
æ,1,ch'äli,11.255366629200484,0.09033373072106876,l,426.537806042145,"1,918.96654405768","2,460.84138396222","3,656.26382612871",LL,10
l,0,ch'äli,11.346704068040676,0.09234114695931515,i,263.508424490379,"1,913.18832414549","2,766.86847533669","3,702.31603234689",LL,10
i,0,ch'äli,11.422985885094022,0.06022248714737799,o,288.677299785540,"1,957.63937814432","2,479.84465003848","3,428.48813220480",LL,10
o,1,ónng',11.504286242742984,0.10237822815054544,nː,499.690809904710,"1,169.78305951712","2,520.28895819515","3,481.72319812010",LL,10
nː,0,ónng',11.592612557225806,0.07427440081510106,g,486.493284869087,"1,219.13917201158","2,605.41301868424","3,023.43230504167",LL,10
g,0,ónng',11.658857293087925,0.05821507090913158,d,287.648281053488,"1,777.08231829389","3,032.91799564631","3,583.70987775156",LL,10
d,0,di,11.741950269310417,0.1079708815358522,i,220.093749567902,"1,655.54126673115","3,251.21671012182","4,064.62019369612",LL,10
i,0,di,11.904336186943624,0.21680095373056396,p,229.387004993420,"2,194.52603629371","2,509.18381925891","3,648.41794783520",LL,10
p,0,pî,12.03080340995312,0.03613349228842821,iː,660.496435759562,"1,899.03427858820","2,505.90821082537","3,641.34604409076",LL,10
iː,1,pî,12.133181638103665,0.16862296401266086,i,318.140808176174,"2,377.05501203698","2,697.45891318393","3,680.79751223404",LL,10
i,0,i,12.25964886111316,0.08431148200632954,e,292.784931685217,"2,312.26648144284","3,166.97165403438","3,724.22214444023",LL,10
e,1,én,12.335930678166504,0.06825215210036362,n,417.621601798293,"2,153.38247060138","2,772.41675175118","3,647.03431901674",LL,10
n,0,én,12.457379360580386,0.1746452127273983,d,323.792141596761,898.81741957831,"2,456.89760976156","2,712.62341632527",LL,10
